companyName,sourceType,sourceUrl,capturedAt,evidenceSummary,evidenceStrength,permissionFlag
RecoveryPlus.health,ai_opportunity_scoring,https://www.recoveryplus.health/about/,2026-05-14,opportunityScore=85; 远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 康复计划生成、动作/依从性反馈与 care manager copilot; 在线问诊分诊、问答和医患服务自动化,strong_ai_opportunity,derived_from_stage2_public_evidence
"Teladoc Health, Inc.",ai_opportunity_scoring,https://www.sec.gov/edgar/browse/?CIK=1477449,2026-05-14,opportunityScore=79; 远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 心理/睡眠分层干预与对话式支持; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,strong_ai_opportunity,derived_from_stage2_public_evidence
医联,ai_opportunity_scoring,https://www.medlinker.com/,2026-05-14,opportunityScore=75; 慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,strong_ai_opportunity,derived_from_stage2_public_evidence
深圳市理邦精密仪器股份有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=069444138319332023122702190811,2026-05-14,opportunityScore=75; 远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,strong_ai_opportunity,derived_from_stage2_public_evidence
天津致远慧图科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697549021014420230320104547712,2026-05-14,opportunityScore=73; 远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 康复计划生成、动作/依从性反馈与 care manager copilot,strong_ai_opportunity,derived_from_stage2_public_evidence
武汉兰丁智能医学股份有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=06975866142710202507090242481,2026-05-14,opportunityScore=72; 远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,strong_ai_opportunity,derived_from_stage2_public_evidence
上海联影智能科技股份有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697419760002920220614032338768,2026-05-14,opportunityScore=70; 医生工作流、病历摘要和临床文档自动化; 患者互动、留存和健康行为 nudging,strong_ai_opportunity,derived_from_stage2_public_evidence
智云健康,ai_opportunity_scoring,https://www.cloudr.cn/,2026-05-14,opportunityScore=70; 慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,strong_ai_opportunity,derived_from_stage2_public_evidence
Livongo,ai_opportunity_scoring,https://www.teladochealth.com/livongo,2026-05-14,opportunityScore=69; 远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
"Omada Health, Inc.",ai_opportunity_scoring,https://www.sec.gov/edgar/browse/?CIK=1611115,2026-05-14,opportunityScore=69; 远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
北京品驰医疗设备股份有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0695980960560920250409110149243,2026-05-14,opportunityScore=68; 远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
深圳市埃微医疗信息技术有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697996622005720260407052252779,2026-05-14,opportunityScore=67; 远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
上海镜影信息科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697755044001020260417012010264,2026-05-14,opportunityScore=66; 远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
华思（天津）医疗健康管理有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697452953104520250828052918072,2026-05-14,opportunityScore=65; 远程监测风险分层与异常预警,medium_ai_opportunity,derived_from_stage2_public_evidence
景昱医疗科技（苏州）股份有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697037781066020250718070235628,2026-05-14,opportunityScore=65; 远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
北京至真互联网技术有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697508757001920221110021746316,2026-05-14,opportunityScore=64; 慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
成都云卫康医疗科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=MA.156.M0.101195.0YWK0033202403220556523,2026-05-14,opportunityScore=64; 远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持,medium_ai_opportunity,derived_from_stage2_public_evidence
深圳星康医疗科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697521590151720260512042339217,2026-05-14,opportunityScore=64; 远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
"Abbott Diabetes Care, Inc.",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K060768,2026-05-14,opportunityScore=63; 远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
