companyName,productName,productType,sourceType,sourceUrl,categories,productAiFitScore,expectedMarketLiftScore,implementationComplexityScore,complianceRiskScore,priorityScore,aiOpportunity
RecoveryPlus.health,RecoveryPlus.health,remote_patient_monitoring,round2_company_site,https://www.recoveryplus.health/,remote_patient_monitoring; chronic_disease_management; internet_healthcare; rehabilitation,24,20,0,0,44,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 康复计划生成、动作/依从性反馈与 care manager copilot; 在线问诊分诊、问答和医患服务自动化
RecoveryPlus.health,RecoveryPlus.health,remote_patient_monitoring,round2_seed,https://www.recoveryplus.health/about/,remote_patient_monitoring; chronic_disease_management; internet_healthcare; rehabilitation,24,18,0,0,42,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 康复计划生成、动作/依从性反馈与 care manager copilot; 在线问诊分诊、问答和医患服务自动化
"Abbott Diabetes Care, Inc.",FreeStyle Precision Neo Blood Glucose Test Strips,digital_health_or_medical_device_software,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K171941,chronic_disease_management; remote_patient_monitoring,19,20,0,2,38,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
"Abbott Diabetes Care, Inc.","PRECISION XTRA BLOOD B KETONE TEST STRIPS, OPTIUM BLOOD B KETONE TEST STRIPS",digital_health_or_medical_device_software,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K060768,chronic_disease_management; remote_patient_monitoring,19,20,0,2,38,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
伯乐实验有限公司,高血压标志物质控物,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=036105223607342025092803570325,remote_patient_monitoring; chronic_disease_management,19,20,0,2,38,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
英国雅培糖尿病护理公司,扫描式葡萄糖监测系统,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=05021791000289202205200721432,remote_patient_monitoring; chronic_disease_management,19,20,0,2,38,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
英国雅培糖尿病护理公司,扫描式葡萄糖监测系统,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0502179100003620220520072107062,remote_patient_monitoring; chronic_disease_management,19,20,0,2,38,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
英国雅培糖尿病护理公司,持续葡萄糖监测系统,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0502179100284920241010051926155,remote_patient_monitoring; chronic_disease_management,19,20,0,2,38,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
英国雅培糖尿病护理公司,持续葡萄糖监测系统,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0502179100832220250227101240063,remote_patient_monitoring; chronic_disease_management,19,20,0,2,38,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
英国雅培糖尿病护理公司,持续葡萄糖监测系统,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0502179100285620241010052516471,remote_patient_monitoring; chronic_disease_management,19,20,0,2,38,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
