companyName,aliases,country,city,diseaseFocus,productLine,productType,targetUsers,businessModel,reachabilityStatus,tier,totalScore,productProblemFit,aiProductLeverage,personalFit,outreachFeasibility,commercialSignal,aiProductOpportunity,personalFitReason,contactTargets,contactRoute,outreachOpening,productEvidenceUrl,reachabilityEvidenceUrl,restrictionReason,sourceTier,stage2OpportunityScore,stage2Categories
Hinge Health,"Hinge Health, Inc.",US,San Francisco,chronic_pain_msk,Digital MSK clinic,digital_msk_virtual_physical_therapy,肌骨疼痛、关节疼痛、术前术后康复、雇主/医保会员,B2B employer / health plan digital clinic,country_restricted_remote,Excluded from shortlist,90,30,25,20,5,10,AI 痛疼教练、康复动作反馈、PT copilot、个性化疼痛教育和会员分层转化。,慢痛产品非常匹配，但可触达性受美国远程限制。,AI product lead、clinical product、pain program lead,Product/clinical leaders on LinkedIn; careers watch,我想讨论如何把 MSK 数字诊所中的疼痛日记、动作反馈和 care team workflow 变成 AI product loop。,https://www.hingehealth.com/,https://jobs.ashbyhq.com/hinge-health,remote is limited to a country/region such as US/UK/EU; not global remote,curated,59,internet_healthcare; rehabilitation
Sword Health,,PT,Porto,chronic_pain_msk,AI digital physical therapy,digital_msk_virtual_physical_therapy,MSK 疼痛、雇主/health plan 会员、女性骨盆健康等,B2B digital health benefit,country_restricted_remote,Excluded from shortlist,89,30,25,19,5,10,疼痛轨迹预测、AI PT 助手、家庭动作质量评估、care manager copilot。,产品方向极匹配，但不进入全球远程严格 shortlist。,AI product、clinical operations、MSK program owner,Product/AI/clinical leaders; careers watch,我想从慢痛依从性和 AI care delivery 角度讨论数字 PT 的下一代产品闭环。,https://swordhealth.com/,https://swordhealth.com/careers,remote is limited to a country/region such as US/UK/EU; not global remote,curated,49,internet_healthcare; rehabilitation
Curable,,US,,chronic_pain_msk; mental_sleep_comorbidity,Curable chronic pain app,pain_reprocessing_behavioral_app,慢性疼痛患者，尤其神经可塑性/身心疼痛管理人群,B2C subscription app,remote_unknown,Excluded from shortlist,88,30,24,20,7,7,AI pain reprocessing coach、疼痛信念评估、个性化练习路径、复发风险识别。,慢痛和医学解释能力高度匹配，但远程政策不清。,Product lead、clinical content lead、founder,官网 contact / founders / clinical advisor network,我想把慢痛机制教育和 LLM agent 结合，做一个能连续理解疼痛日记和情绪/睡眠共病的 AI pain coach。,https://www.curable.com/,https://www.curable.com/,global remote not confirmed under strict policy,curated,,
RecoveryPlus.health,Recovery Plus USA Inc; Recovery Plus,US,New York,chronic_pain_msk; metabolic_cardiovascular,Virtual cardiac/pulmonary rehab and chronic care,virtual_rehabilitation_chronic_care,心肺康复、慢病管理、远程护理患者,virtual care provider / reimbursable care programs,remote_unknown,Excluded from shortlist,88,30,24,20,6,8,AI care manager 用于心肺康复依从性、症状问答、风险分层、个性化运动处方和护理团队 copilot。,慢病机制、临床路径和 agent 原型能力都能直接转化为产品讨论。,Founder、Chief Medical Officer、Head of Product、Rehab program lead,官网 contact / founder / clinical leadership,我想围绕虚拟心肺康复设计一个 AI care manager 原型，降低人力随访成本并提升患者依从性。,https://www.recoveryplus.health/about/,https://www.recoveryplus.health/about/,global remote not confirmed under strict policy,curated,85,chronic_disease_management; internet_healthcare; rehabilitation; remote_patient_monitoring
Lark Health,,US,Mountain View,metabolic_cardiovascular,AI chronic disease coaching,ai_chronic_care_coach,糖尿病、高血压、体重管理和预防项目用户,B2B chronic care coaching,remote_unknown,Excluded from shortlist,87,28,25,20,6,8,把 AI coach 从脚本化互动升级为 agentic 慢病管理、个性化随访和风险升级。,你的定位与 AI 慢病 coach 产品高度重合。,AI product、clinical program、behavior science,careers / product / clinical leadership,我想讨论 AI 慢病 coach 的下一步：如何用 LLM agent 改善医学解释、依从性和安全升级。,https://www.lark.com/,https://www.lark.com/careers,global remote not confirmed under strict policy,curated,36,chronic_disease_management
Omada Health,"Omada Health, Inc.",US,San Francisco,metabolic_cardiovascular,"Virtual chronic care for diabetes, hypertension, obesity",virtual_chronic_care,糖尿病、高血压、肥胖、心血管风险人群,B2B employer / payer chronic care,country_restricted_remote,Excluded from shortlist,87,28,24,20,5,10,AI 慢病 coach、数据驱动风险分层、coach copilot、个性化干预和留存提升。,代谢慢病非常匹配，但远程严格口径受限。,Product、clinical program、AI/data product lead,Product/clinical leaders; careers watch,我想从代谢慢病行为改变出发，讨论 AI coach 如何降低人力交付成本并提升长期依从性。,https://www.omadahealth.com/,https://job-boards.greenhouse.io/omadahealth,remote is limited to a country/region such as US/UK/EU; not global remote,curated,69,chronic_disease_management; internet_healthcare; remote_patient_monitoring
Virta Health,,US,Denver,metabolic_cardiovascular,Diabetes and obesity reversal care,virtual_metabolic_care,2型糖尿病、肥胖和代谢健康人群,B2B payer/employer chronic care,country_restricted_remote,Excluded from shortlist,87,29,24,20,5,9,AI metabolic coach、营养/用药/实验室指标解释、coach copilot 和个体化路径。,Cell Metabolism 背景非常匹配，但可触达性受限。,Product、medical、behavior change program lead,Product/clinical/science leaders,我想围绕代谢病逆转项目，讨论如何用 AI agent 把医学机制、行为改变和随访变成产品闭环。,https://www.virtahealth.com/,https://www.virtahealth.com/careers,remote is limited to a country/region such as US/UK/EU; not global remote,curated,47,chronic_disease_management; internet_healthcare
Kaia Health,,US,New York,chronic_pain_msk,Digital MSK therapy,digital_msk_app,MSK 疼痛和运动康复患者,B2B digital MSK solution,remote_unknown,Excluded from shortlist,86,29,23,20,6,8,AI pain coach、动作处方个性化、疼痛教育和 CBT 模块衔接。,慢痛/MSK 强匹配，可触达性需要人工二次确认。,Product、clinical operations、AI/ML lead,careers/contact + product leaders,我希望围绕慢痛数字疗法，把医学机制、行为干预和 LLM agent 做成更强的用户自管理闭环。,https://kaiahealth.com/,https://kaiahealth.com/careers/,global remote not confirmed under strict policy,curated,40,rehabilitation
Lin Health,,US,,chronic_pain_msk; mental_sleep_comorbidity,Pain recovery coaching,chronic_pain_virtual_coaching,慢性疼痛患者和 health plan/employer 人群,virtual care / coaching program,country_restricted_remote,Excluded from shortlist,86,30,24,20,5,7,AI coach 用于疼痛解释、恐惧回避行为识别、flare-up 处理和 care team copilot。,慢痛机制与 AI coach 非常匹配，可触达性需要后续确认。,Product、clinical operations、pain neuroscience lead,Founder/clinical/product leads,我想探讨慢痛 neuroplastic recovery 中 AI coach 如何个性化解释、练习和随访。,https://www.lin.health/,https://www.lin.health/careers,remote is limited to a country/region such as US/UK/EU; not global remote,curated,,
Glooko,,US,Palo Alto,metabolic_cardiovascular,Diabetes data management and remote monitoring,diabetes_remote_monitoring_platform,糖尿病患者、医生、健康系统,B2B/B2C diabetes data platform,remote_unknown,Excluded from shortlist,85,27,24,20,6,8,血糖/设备数据解释 agent、医生 copilot、患者教育和风险分层。,代谢慢病和数据产品高度匹配。,Product、clinical workflow、data product lead,careers / product / clinical leads,我想讨论糖尿病数据平台如何用 AI agent 将多源数据转化为患者和医生都能用的建议。,https://glooko.com/,https://glooko.com/careers/,global remote not confirmed under strict policy,curated,60,chronic_disease_management; remote_patient_monitoring
