queryId,query,status,reason
round2_q001,北京 数字医疗,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q002,北京 互联网医疗,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q003,北京 互联网医院,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q004,北京 在线问诊,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q005,北京 医药电商,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q006,北京 慢病管理,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q007,北京 远程监测,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q008,北京 患者管理,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q009,北京 康复,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q010,北京 心理健康,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q011,北京 睡眠管理,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q012,北京 认知训练,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q013,北京 医疗软件,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q014,北京 AI医疗,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q015,北京 健康管理平台,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q016,上海 数字医疗,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q017,上海 互联网医疗,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q018,上海 互联网医院,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q019,上海 在线问诊,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q020,上海 医药电商,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q021,上海 慢病管理,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q022,上海 远程监测,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q023,上海 患者管理,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q024,上海 康复,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q025,上海 心理健康,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q026,上海 睡眠管理,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q027,上海 认知训练,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q028,上海 医疗软件,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q029,上海 AI医疗,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q030,上海 健康管理平台,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q031,广州 数字医疗,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q032,广州 互联网医疗,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q033,广州 互联网医院,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q034,广州 在线问诊,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q035,广州 医药电商,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q036,广州 慢病管理,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q037,广州 远程监测,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q038,广州 患者管理,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
round2_q039,广州 康复,not_executed,No search API credentials and OpenCLI Browser Bridge is unavailable; queries are emitted for the next run.
