companyName,aliases,country,city,diseaseFocus,productLine,productType,targetUsers,businessModel,reachabilityStatus,tier,totalScore,productProblemFit,aiProductLeverage,personalFit,outreachFeasibility,commercialSignal,aiProductOpportunity,personalFitReason,contactTargets,contactRoute,outreachOpening,productEvidenceUrl,reachabilityEvidenceUrl,restrictionReason,sourceTier,stage2OpportunityScore,stage2Categories
Fella Health,,US,Remote,metabolic_cardiovascular; mental_sleep_comorbidity,Obesity and metabolic health program,telehealth_weight_loss_chronic_care,肥胖、代谢健康和男性健康人群,DTC telehealth subscription,global_remote_confirmed,A,95,28,24,20,15,8,AI metabolic coach 用于体重/用药/饮食/副作用随访、风险分层、coach copilot 和留存提升。,Cell Metabolism 背景能支持代谢产品判断，agent 能直接做患者随访和 coach 原型。,Founder、Head of Product、clinical program owner、growth/product lead,YC Work at a Startup / founder LinkedIn / careers,我想把代谢病机制理解和 LLM agent 原型结合，探索 GLP-1/体重管理项目中的 AI coach 与 clinical ops copilot。,https://www.fellahealth.com/,https://www.ycombinator.com/companies/fella-health/jobs,,curated,,
成都尚医信息科技有限公司,尚医科技; R Plus Health; 术康,CN,成都,chronic_pain_msk,R Plus Health / 术康居家康复,home_rehabilitation_app,康复患者、出院后患者、慢性疼痛/运动功能障碍人群,B2C app + 医疗健康 IT 服务合作,china_local_reachable,A,95,30,24,20,14,7,把康复计划升级为 AI 康复教练：疼痛/活动记录、动作依从性反馈、阶段性康复计划生成、异常提醒和康复师 copilot。,医学背景能理解康复/疼痛路径，LLM agent 能快速做患者随访和康复计划原型。,创始人、产品负责人、康复业务负责人、合作 BD,官网/工商线索/合作新闻相关联系人/成都医疗健康生态,我关注到 R Plus Health 的居家康复方向，想探讨如何用 LLM agent 把康复计划、疼痛日记和随访管理做成可规模化的 AI 康复教练。,https://www.prnewswire.com/news-releases/cf-pharmtech-and-chengdu-shangyi-launch-the-home-based-recovery-program-for-discharged-covid-19-patients-and-announce-todays-global-release-of-the-r-plus-health-free-app-301219070.html,https://m.newseed.cn/company/43464,,curated,39,rehabilitation; samd
智云健康,ClouDr,CN,杭州,metabolic_cardiovascular; platform_chronic_care,慢病管理和互联网医疗平台,chronic_disease_management_platform,慢病患者、医生、药房、医疗机构,互联网医疗 + 慢病管理 + 药品/服务平台,china_local_reachable,A,94,28,24,19,14,9,慢病 AI coach、复诊/用药随访 agent、医生 copilot、患者分层运营和药事服务自动化。,代谢慢病背景和 agent 原型能力都能转化为产品价值。,慢病产品负责人、AI/数据负责人、医生端产品负责人,官网联系 / 投资者关系 / 产品负责人 / 慢病业务线,我想围绕慢病患者长期随访和医生/药师工作流，设计一个能提升依从性和服务半径的 AI agent 产品。,https://www.cloudr.cn/,https://www.cloudr.cn/,,curated,70,chronic_disease_management; clinical_workflow; internet_healthcare; online_consultation
深圳硅基智能科技有限公司,SIBIONICS,CN,深圳,metabolic_cardiovascular,CGM and diabetes digital management,diabetes_remote_monitoring,糖尿病患者和医生,CGM 硬件 + 数字管理服务,china_local_reachable,A,92,28,24,20,12,8,CGM 数据解释 agent、个性化生活方式建议、低/高血糖风险预警、医生报告自动化。,代谢病背景强相关，AI 可把硬件数据变成患者可用产品价值。,产品负责人、糖尿病管理负责人、医学事务,官网/产品/市场/临床合作,我想探索 CGM 数据与 LLM agent 结合，做更易理解、更能促进行为改变的糖尿病 AI coach。,https://www.sibionics.com/,https://www.sibionics.com/,,curated,60,chronic_disease_management; clinical_workflow; samd
GlucoSenseDigital,GlucoSense,,Remote,metabolic_cardiovascular,AI diabetes management app,diabetes_ai_app,糖尿病患者和照护者,digital diabetes app,global_remote_confirmed,A,91,28,24,19,15,5,AI 糖尿病教练：血糖日志解释、行为建议、风险提醒、医生报告和患者教育。,代谢病背景和 agent 原型能力直接相关。,Founder、product owner、clinical advisor,careers/contact,我想基于医学和 LLM agent 原型能力，帮助把糖尿病管理 app 做成更强的个性化 AI coach。,https://glucosensedigital.com/,https://glucosensedigital.com/careers/,,curated,,
蚂蚁集团健康事业群 / 数字医疗,支付宝健康; Ant Health,CN,杭州,platform_chronic_care; metabolic_cardiovascular; mental_sleep_comorbidity,数字医疗、医疗大模型和健康服务,internet_healthcare_ai_platform,支付宝健康用户、医疗机构、慢病患者,平台型数字医疗生态,china_local_reachable,A,91,24,25,20,13,9,慢病/慢痛 AI 产品经理：医学问答、健康档案、患者管理 agent 和服务分诊。,医学背景、顶刊科研和 LLM agent 实作都能形成差异化。,医疗大模型产品、医学专家、健康服务产品负责人,蚂蚁招聘/医疗大模型团队/支付宝健康产品负责人,我想围绕医疗大模型在慢病/慢痛管理中的产品化，提出一个可评估、安全边界清晰的 AI agent MVP。,https://www.mianshima.com/job/5/25030403589666,https://talent.antgroup.com/,,curated,,
Hinge Health,"Hinge Health, Inc.",US,San Francisco,chronic_pain_msk,Digital MSK clinic,digital_msk_virtual_physical_therapy,肌骨疼痛、关节疼痛、术前术后康复、雇主/医保会员,B2B employer / health plan digital clinic,country_restricted_remote,Excluded from shortlist,90,30,25,20,5,10,AI 痛疼教练、康复动作反馈、PT copilot、个性化疼痛教育和会员分层转化。,慢痛产品非常匹配，但可触达性受美国远程限制。,AI product lead、clinical product、pain program lead,Product/clinical leaders on LinkedIn; careers watch,我想讨论如何把 MSK 数字诊所中的疼痛日记、动作反馈和 care team workflow 变成 AI product loop。,https://www.hingehealth.com/,https://jobs.ashbyhq.com/hinge-health,remote is limited to a country/region such as US/UK/EU; not global remote,curated,59,internet_healthcare; rehabilitation
Sword Health,,PT,Porto,chronic_pain_msk,AI digital physical therapy,digital_msk_virtual_physical_therapy,MSK 疼痛、雇主/health plan 会员、女性骨盆健康等,B2B digital health benefit,country_restricted_remote,Excluded from shortlist,89,30,25,19,5,10,疼痛轨迹预测、AI PT 助手、家庭动作质量评估、care manager copilot。,产品方向极匹配，但不进入全球远程严格 shortlist。,AI product、clinical operations、MSK program owner,Product/AI/clinical leaders; careers watch,我想从慢痛依从性和 AI care delivery 角度讨论数字 PT 的下一代产品闭环。,https://swordhealth.com/,https://swordhealth.com/careers,remote is limited to a country/region such as US/UK/EU; not global remote,curated,49,internet_healthcare; rehabilitation
医联,Medlinker,CN,成都,metabolic_cardiovascular; platform_chronic_care,互联网医院和慢病管理服务,internet_healthcare_chronic_care,慢病患者、医生、互联网医院用户,互联网医疗平台,china_local_reachable,A,89,26,23,18,14,8,问诊分诊、慢病随访、病历摘要、患者教育和医生运营的 AI agent。,成都本地可触达，医学+agent 对医生/患者工作流有直接价值。,慢病业务负责人、医生端产品负责人、AI产品负责人,官网/成都医疗健康生态/产品与医生运营负责人,我想讨论慢病互联网医院中 AI agent 如何降低医生重复沟通成本，并提升患者长期管理质量。,https://www.medlinker.com/,https://www.medlinker.com/,,curated,75,chronic_disease_management; clinical_workflow; internet_healthcare
Curable,,US,,chronic_pain_msk; mental_sleep_comorbidity,Curable chronic pain app,pain_reprocessing_behavioral_app,慢性疼痛患者，尤其神经可塑性/身心疼痛管理人群,B2C subscription app,remote_unknown,Excluded from shortlist,88,30,24,20,7,7,AI pain reprocessing coach、疼痛信念评估、个性化练习路径、复发风险识别。,慢痛和医学解释能力高度匹配，但远程政策不清。,Product lead、clinical content lead、founder,官网 contact / founders / clinical advisor network,我想把慢痛机制教育和 LLM agent 结合，做一个能连续理解疼痛日记和情绪/睡眠共病的 AI pain coach。,https://www.curable.com/,https://www.curable.com/,global remote not confirmed under strict policy,curated,,
