companyName,jobCompany,stage2Fit,title,location,remoteHybrid,seniorityFit,jobFamily,listed,activeStatus,sourceType,applyUrl,sourceUrl,matchedKeywords,evidenceSummary,entityNote,opportunityScore,scoreSource,hiringFitScore,jobTargetScore,capturedAt
讯飞医疗科技股份有限公司,讯飞医疗科技股份有限公司,new_digital_health_candidate,讯飞医疗-高级AI算法工程师-北京,北京,onsite_or_unspecified,senior_preferred,llm_nlp,BeBee 显示 2 天前，截止 2026-07-10,probable_active,bebee_jobs_public,https://bebee.com/cn/jobs/ai--ss-cn-1h0ri7c,https://bebee.com/cn/jobs/ai--ss-cn-1h0ri7c,ai; 算法; 大模型; 算法工程师; 工程师; 算法,岗位牵头研究大模型训练核心算法，探索大语言模型训练范式，熟悉训练/推理框架，管理算法团队；主体为讯飞医疗。,Stage 2 主清单未命中，但属于明确医疗 AI / 数字医疗候选，应加入扩展目标。,76,inferred_from_public_job_and_company_scope,76,74,2026-05-15
百度健康,百度,new_digital_health_candidate,健康事业部-多模态大模型算法工程师-2026AIDU,北京,onsite_or_unspecified,middle_or_unspecified,llm_nlp,页面显示 2025-05-26，状态：招聘,probable_active,mianshima_jobs_public,https://www.mianshima.com/job/11/31da93c6-1616-449a-b0ff-f1f56c5d4df6,https://www.mianshima.com/job/11/31da93c6-1616-449a-b0ff-f1f56c5d4df6,算法; 大模型; 算法工程师; 工程师; 算法,岗位建设医疗健康领域多模态大模型数据管线、模型结构设计与效果优化，提升健康内容/服务场景理解和生成能力。,第三方校园职位页显示状态招聘；需要官方百度招聘页二次确认。,74,inferred_from_public_job_and_company_scope,76,73,2026-05-15
上海联影智能科技股份有限公司,上海联影医疗科技股份有限公司,related_group,软件算法工程师（AI/图形图像）,上海,onsite_or_unspecified,middle_or_unspecified,llm_nlp,投递时间：2025-08-27 至 2026-07-01,probable_active,nowcoder_jobs_public_active,https://www.nowcoder.com/jobs/detail/412527,https://www.nowcoder.com/jobs/detail/412527,ai; nlp; 算法; 机器学习; 算法工程师; 工程师; 算法,牛客职位页显示“立即申请”，投递时间至 2026-07-01；岗位参与联影产品 AI 算法开发，覆盖医学影像、计算机视觉、深度学习、机器学习、NLP 等。,岗位主体为联影医疗，页面明确提到联影智能方向；与 Stage 2 的联影智能按集团/产品线关联处理。,70,stage2_ai_company_scores,76,72,2026-05-15
上海联影智能科技股份有限公司,上海联影医疗科技股份有限公司,related_group,AI算法工程师,上海,onsite_or_unspecified,middle_or_unspecified,ai_ml_engineering,搜索索引显示近 6 天抓取,probable_active,linkedin_jobs_public,https://cn.linkedin.com/jobs/view/ai%E7%AE%97%E6%B3%95%E5%B7%A5%E7%A8%8B%E5%B8%88-at-%E4%B8%8A%E6%B5%B7%E8%81%94%E5%BD%B1%E5%8C%BB%E7%96%97%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-4392853080,https://cn.linkedin.com/jobs/view/ai%E7%AE%97%E6%B3%95%E5%B7%A5%E7%A8%8B%E5%B8%88-at-%E4%B8%8A%E6%B5%B7%E8%81%94%E5%BD%B1%E5%8C%BB%E7%96%97%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-4392853080,ai; 算法; 算法工程师; 工程师; 算法,LinkedIn 职位页显示医疗 AI、Qwen/Llama 微调、医疗垂直模型研发、临床信息系统/医疗知识图谱等要求。,第三方招聘页，未从官方 careers 二次确认。,70,stage2_ai_company_scores,76,72,2026-05-15
华佗大数据健康（杭州）有限公司,华佗大数据健康（杭州）有限公司,new_digital_health_candidate,Python后端开发工程师（AI Agent方向）,杭州,onsite_or_unspecified,middle_or_unspecified,ai_integration_or_solution,发布日期：2026-04-15,probable_active,niuqizp_public_recruitment_notice,https://jobs.niuqizp.com/job-vms55CzZC.html,https://jobs.niuqizp.com/job-vms55CzZC.html,ai; agent; 人工智能; 工程师; 解决方案,公开招聘公告称公司是医疗数据+AI全栈应用解决方案提供方，旗下云上华佗是人工智能数字健康科技平台；招聘 Python 后端开发工程师（AI Agent 方向）。,Stage 2 主清单未命中，但岗位和公司业务均为数字健康/医疗 AI，应加入扩展目标。,72,inferred_from_public_job_and_company_scope,76,71,2026-05-15
北京医者信息科技有限责任公司,北京医者信息科技有限责任公司,new_digital_health_candidate,2026招聘大模型算法工程师,北京,onsite_or_unspecified,middle_or_unspecified,llm_nlp,发布日期：2026-05-11；招聘 10 人,probable_active,niuqizp_campus_public,https://campus.niuqizp.com/job-vrY5z5LM5.html,https://campus.niuqizp.com/job-vrY5z5LM5.html,算法; 大模型; 算法工程师; 工程师; 算法,页面显示招聘大模型算法工程师 10 人，要求 Transformers、PyTorch、大模型预训练/微调/评估、DeepSpeed、vLLM 等经验。,Stage 2 主清单未命中；公司名显示医疗信息科技属性，需第三轮补业务范围和融资资料。,66,inferred_from_public_job_and_company_scope,76,68,2026-05-15
腾讯医疗健康（深圳）有限公司,腾讯,parent_company_indirect,混元大语言模型后训练算法工程师（深圳/北京/上海）,深圳 / 北京 / 上海,onsite_or_unspecified,middle_or_unspecified,llm_nlp,发布日期：2026-05-12；来源：腾讯官网,verified_active,official_tencent_careers_via_niuqizp,https://careers.tencent.com/jobdesc.html?postId=2009467972866957312,https://jobs.niuqizp.com/job-vmU55NnaZ.html,算法; 大模型; 算法工程师; 工程师; 算法,岗位负责混元大语言模型后训练、Reward Modeling、RLHF、个性化大模型、Memory/RAG、数据飞轮和评测；页面提供腾讯官网投递链接。,这是腾讯集团/混元岗位，不是腾讯医疗健康主体岗位；列为“集团 AI 能力强相关、医疗健康产品间接受益”。,63,stage2_ai_company_scores,88,66,2026-05-15
腾讯医疗健康（深圳）有限公司,腾讯科技,parent_company_indirect,大模型算法工程师（具身对话方向）,深圳,onsite_or_unspecified,middle_or_unspecified,llm_nlp,牛客职位页显示“立即申请”，HR 昨日在线,probable_active,nowcoder_jobs_public_active,https://www.nowcoder.com/jobs/detail/437480?urlSource=sitemap,https://www.nowcoder.com/jobs/detail/437480?urlSource=sitemap,llm; agent; 算法; 大模型; 算法工程师; 工程师; 算法,岗位负责 LLM + Agent + Robotics 技术融合，面向真实养老、情感陪伴场景落地；要求 LLM 微调、RAG、RLHF、Agent 框架、推理部署等。,腾讯科技岗位，场景含养老/陪伴，但不是腾讯医疗健康主体岗位。,63,stage2_ai_company_scores,76,62,2026-05-15
平安健康,平安健康保险股份有限公司,related_name_entity_mismatch,098125-大模型算法工程师（专场）,上海,onsite_or_unspecified,middle_or_unspecified,llm_nlp,LinkedIn 显示 4 天前,probable_active,linkedin_jobs_public,https://cn.linkedin.com/jobs/view/098125-%E5%A4%A7%E6%A8%A1%E5%9E%8B%E7%AE%97%E6%B3%95%E5%B7%A5%E7%A8%8B%E5%B8%88%EF%BC%88%E4%B8%93%E5%9C%BA%EF%BC%89-at-%E5%B9%B3%E5%AE%89%E5%81%A5%E5%BA%B7%E4%BF%9D%E9%99%A9%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-4406434485,https://cn.linkedin.com/jobs/view/098125-%E5%A4%A7%E6%A8%A1%E5%9E%8B%E7%AE%97%E6%B3%95%E5%B7%A5%E7%A8%8B%E5%B8%88%EF%BC%88%E4%B8%93%E5%9C%BA%EF%BC%89-at-%E5%B9%B3%E5%AE%89%E5%81%A5%E5%BA%B7%E4%BF%9D%E9%99%A9%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-4406434485,算法; 大模型; 算法工程师; 工程师; 算法,岗位理解保险业务和医疗健康行业的大模型应用需求，负责预训练模型选择、数据处理、模型微调、评测、RLHF 等工作。,主体是平安健康保险股份有限公司，不是平安健康医疗科技/平安好医生；列入相关机会，不算 Stage 2 精确命中。,56,stage2_ai_company_scores,76,57,2026-05-15
平安健康,平安健康保险股份有限公司,related_name_entity_mismatch,算法工程师-大模型,深圳,onsite_or_unspecified,middle_or_unspecified,llm_nlp,BeBee 显示截至 2026-06-08,probable_active,bebee_jobs_public,https://bebee.com/cn/jobs/shenzhen-guangdong--theirstack-659292784,https://bebee.com/cn/jobs/shenzhen-guangdong--theirstack-659292784,算法; 大模型; 算法工程师; 工程师; 算法,岗位面向保险营销、智能客服、风控、业务数据分析等场景，做大语言模型和多模态大模型算法设计、SFT、Prompt、蒸馏、RLHF、量化压缩与上线落地。,主体是平安健康保险股份有限公司；与平安健康平台有品牌/集团相关性但不误合并。,56,stage2_ai_company_scores,76,57,2026-05-15
